mtbschnitt_id,Bevoelkerungszahl
     600,-9999.00
     601,-9999.00
     602,-9999.00
     603,-9999.00
     604,-9999.00
     605,-9999.00
     606,-9999.00
     607,-9999.00
     608,-9999.00
     609,-9999.00
     610,-9999.00
     611,-9999.00
     612,-9999.00
     613,-9999.00
     614,-9999.00
     615,-9999.00
     616,-9999.00
     617,-9999.00
     618,-9999.00
     619,-9999.00
     620,-9999.00
     621,-9999.00
     622,-9999.00
     623,-9999.00
     624,-9999.00
     625,-9999.00
     626,-9999.00
     627,-9999.00
     628,-9999.00
     629,-9999.00
     630,-9999.00
     631,-9999.00
     632,-9999.00
     633,-9999.00
     634,-9999.00
     635,-9999.00
     636,-9999.00
     637,-9999.00
     638,-9999.00
     639,-9999.00
     640,-9999.00
     641,-9999.00
     642,-9999.00
     643,-9999.00
     644,-9999.00
     645,-9999.00
     646,-9999.00
     647,-9999.00
     648,-9999.00
     649,-9999.00
     650,-9999.00
     651,-9999.00
     652,-9999.00
     653,-9999.00
     654,-9999.00
     655,-9999.00
     656,-9999.00
     657,-9999.00
     658,-9999.00
     700,-9999.00
     701,-9999.00
     702,-9999.00
     703,-9999.00
     704,-9999.00
     705,-9999.00
     706,-9999.00
     707,-9999.00
     708,-9999.00
     709,-9999.00
     710,-9999.00
     711,-9999.00
     712,-9999.00
     713,-9999.00
     714,-9999.00
     715,-9999.00
     716,-9999.00
     717,-9999.00
     718,-9999.00
     719,-9999.00
     720,-9999.00
     721,-9999.00
     722,-9999.00
     723,-9999.00
     724,-9999.00
     725,-9999.00
     726,-9999.00
     727,-9999.00
     728,-9999.00
     729,-9999.00
     730,-9999.00
     731,-9999.00
     732,-9999.00
     733,-9999.00
     734,-9999.00
     735,-9999.00
     736,-9999.00
     737,-9999.00
     738,-9999.00
     739,-9999.00
     740,-9999.00
     741,-9999.00
     742,-9999.00
     743,-9999.00
     744,-9999.00
     745,-9999.00
     746,-9999.00
     747,-9999.00
     748,-9999.00
     749,-9999.00
     750,-9999.00
     751,-9999.00
     752,-9999.00
     753,-9999.00
     754,-9999.00
     755,-9999.00
     756,-9999.00
     757,-9999.00
     758,-9999.00
     800,-9999.00
     801,-9999.00
     802,-9999.00
     803,-9999.00
     804,-9999.00
     805,-9999.00
     806,-9999.00
     807,-9999.00
     808,-9999.00
     809,-9999.00
     810,-9999.00
     811,-9999.00
     812,-9999.00
     813,-9999.00
     814,-9999.00
     815,-9999.00
     816,-9999.00
     817,-9999.00
     818,-9999.00
     819,-9999.00
     820,-9999.00
     821,-9999.00
     822,-9999.00
     823,-9999.00
     824,-9999.00
     825,-9999.00
     826,-9999.00
     827,-9999.00
     828,-9999.00
     829,-9999.00
     830,-9999.00
     831,-9999.00
     832,-9999.00
     833,-9999.00
     834,-9999.00
     835,-9999.00
     836,-9999.00
     837,-9999.00
     838,-9999.00
     839,-9999.00
     840,-9999.00
     841,-9999.00
     842,-9999.00
     843,-9999.00
     844,-9999.00
     845,-9999.00
     846,-9999.00
     847,-9999.00
     848,-9999.00
     849,-9999.00
     850,-9999.00
     851,-9999.00
     852,-9999.00
     853,-9999.00
     854,-9999.00
     855,-9999.00
     856,-9999.00
     857,-9999.00
     858,-9999.00
     900,0.00000
     901,0.00000
     902,0.00000
     903,0.00000
     904,0.00000
     905,0.00000
